url,country,title,company,location,category,work_type,description
https://my.jobstreet.com/job/84998805?type=standard&ref=search-standalone&origin=cardTitle#sol=33969e0d30a8cd3b32df6ffa80bc25dfd97b0812,malaysia,"Data Scientist, Financial Conglomerates Supervision",Bank Negara Malaysia,Kuala Lumpur,Analysis & Reporting (Banking & Financial Services),Full time,"ROLE PURPOSE:
Execute the SupTech and Data Analytics Unit (SDA) projects through the development and deployment of advanced analytics methods that extract insights from financial institutions’ data to pre-empt emerging risks and facilitate effective continuous supervisory function.
PRINCIPAL ACCOUNTABILITIES:
Develop and deploy innovative data analytical tools for supervisors to effectively monitor and identify emerging issues, vulnerabilities, and risks, enabling pre-emptive supervisory actions/interventions.
Collaborate with other departments such as Digital & Technology Sector and Data Management & Statistics Department to develop and realize data analytics tools.
Support and contribute to deliver outcomes under the Supervision sector's SupTech project.
Facilitate / assist in inherent risk profiling and ongoing surveillance of significant activities of financial institutions, escalating insights to internal stakeholders for further analysis and intervention.
Work with relevant parties to streamline data definition, collection and usage by supervisors, ensure consistency and minimizing duplication in reporting by financial institutions.
Oversee the timely and accurate backend processing of granular data submitted by financial institutions for use in data analytics.
Provide ongoing technical support to supervisors for the effective use of data analytics tools and collaborate with department learning officers to enhance supervisors' competency in using these tools.
Maintain appropriate data access management including setting permission, auditing access and liaising with the relevant departments or approving authority for data analytics tools in accordance with the Bank's information security guidelines.
 QUALIFICATIONS:
Academic Qualifications: Master / Bachelor Degree or professional qualifications in Data Science/AI, Information Technology, Computer Science, Accounting, Economics, Banking, Finance, Risk Management, or equivalent with a minimum CGPA of 3.00 and above or Second Class Upper.
At least 2 years of prior working experience in data analytics, data science or related field.
TECHNICAL SKILLS/ KNOWLEDGE:
Knowledge
Excellent understanding of statistical and technical methods, and knowledge in data management, visualisation and machine learning
Technical/Functional Skills
Applied statistical skills, with sound understanding of distributions and methods of statistical inference.
Programming skills in languages commonly used in data science (e.g. R, Python, SQL) and computing knowledge (added advantage)
Strong project management and analytical skills.
Experienced in Microsoft Excel, PowerBI and SAS EG.
Skilled in end-to-end data science workflow from data sourcing, wrangling, modelling, evaluation, and deployment
ONLY SHORTLISTED CANDIDATES WILL BE NOTIFIED"
https://my.jobstreet.com/job/85371197?type=standard&ref=search-standalone&origin=cardTitle#sol=05b5b4bd4c4faebc5c7db8de3532eb12b093f3aa,malaysia,Data Scientist,Western Digital Tech and Regional Center (M) Sdn Bhd,Kuala Lumpur,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"Job Description
Responsibilities
Work with data scientists, data engineers, software engineers, process & product engineers, design engineers, etc collaboratively to develop new data science solutions that improve productivity and operations metrics.
Researching and developing scalable Generative-AI solutions using AWS Bedrock platform, Large Language Models (LLM) and prompt engineering for factory/engineering usage
Deploy models and solutions using DevOps/MLOps tools such as Docker, Kubernetes, MLflow, AWS & Edge to ensure scalability and reproducibility.
Collaborate in cross-functional teams to integrate AI/ML algorithms, image analytics and software into the Analytics systems (including chatbot/AR/Computer Vision) as well as develop prototypes.
Design, develop, deploy and maintain Analytics Systems/solutions (Data engineering, Data Science, Chatbot, AI, Generative-AI, AR, Computer vision and Visualization/Web App) independently and delivered on time.
Meeting users, gathering user requirements and communicating requirements to a technical team member for technical solution design, feasibility study & planning.
Translate User Request into Analytics Solution from a system perspective. Prepare and deliver presentations with data visualizations and business conclusions.
Constantly learn new front tier technology and creatively apply/deliver solutions to manufacturing operations to meet KPIs.
Qualification
Masters or Bachelor Degree in Computer science, data science, computer engineering, information technology, or relevant work experience and education background.
We will also consider applicants with the equivalent combination of education, technical expertise, training, or work experience.
Preferably minimum 1-2 years of working experience in related field (Generative-AI & Chatbot).
Skills
Required: Python, LLM, Prompt Engineering, Chatbot, Generative -AI, Augmented Reality, Computer Vision
Added Advantage: Agentic AI and Multi-Agent architecture.  
Practical experience in application of ML and Deep Learning algorithms.
SQL, Relational databases, Big Data platforms, AWS Redshift, PRESTO, ETL, SSIS etc.
Some experience with web front end development: .NET, VB.NET, C#, HTML/CSS, JavaScript, NodeJS, JQuery & Angular
Ability to learn quickly and become productive on new technologies, APIs, development languages and frameworks.
Experience in data mining, data wrangling, and handling JSON, CSV files.
Hands on experience with Docker, Kubernetes, Edge computing and AWS.. etc
Experience with data visualization methods (Spotfire, PowerBI, Grafana)
The ability to problem solves and provide complex solutions with minimal supervision
Knowledge of Agile development, SCRUM and Application Lifecycle Management
Excellent communications and presentation skills, with the ability to synthesize, simplify and explain complex problems to different types of audience, including executives. A great team player.
Self-motivated, strong ownership and ability to work independently with minimal supervision
Additional Information
Western Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.
Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at jobs.accommodations@wdc.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.
NOTICE TO CANDIDATES: Western Digital has received reports of scams where a payment is requested on Western Digital’s behalf as a condition for receiving an offer of employment. Please be aware that Western Digital and its subsidiaries will never request payment as a condition for applying for a position or receiving an offer of employment. Should you encounter any such requests, please report it immediately to Western Digitals Ethics Helpline or email compliance@wdc.com"
https://my.jobstreet.com/job/85548582?type=standard&ref=search-standalone&origin=cardTitle#sol=671216694d41b9fad9fba70a1a9674cc681405b5,malaysia,Data Annotator,Concentrix,"Cyberjaya, Selangor",Database Development & Administration (Information & Communication Technology),Full time,"Job Description
Key Responsibilities:
 Accurately label and categorize large datasets, including text, audio, images, and video.
Review and correct data annotations to ensure quality and consistency.
Work closely with the AI and Machine Learning teams to understand project-specific guidelines.
Provide feedback to improve the data annotation process.
Meet daily/weekly annotation targets while maintaining high-quality standards.
 Requirements:
 Strong attention to detail and ability to work independently.
Basic computer skills and familiarity with online tools.
Ability to follow detailed instructions and adapt to changing project needs.
Prior experience in data annotation or related fields is a plus but not required.
Some English Language capabilities an advantage as some tooling may have an English UI. Additionally, some training may be only available in English (but may be translated)."
https://my.jobstreet.com/job/85154961?type=standard&ref=search-standalone&origin=cardTitle#sol=769414c7de8e2906b7552253085f733cc5c55d5e,malaysia,Data Scientist (Artificial Intelligence),Dcap Commercial Sdn Bhd,Kuala Lumpur,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"Why Join Us? 
At DCAP, we’re dynamic, fast-growing tech startup backed by Khazanah Dana Impak, providing AI-powered Consumer Financing Platform to hire purchase businesses. We don’t just offer jobs – we build careers. Step into a vibrant environment where your skills and ambitions will be recognized, nurtured, and rewarded.
 Key Features
Digitalized customer journey for partners.
Specialized support for vehicle purchase financing.
Commitment to serving underbanked and underserved populations.
 Our Culture
At DCAP, we embrace a ""fail-fast"" culture that encourages rapid testing of business scenarios. We value:
Bold ideas and innovation.
Continuous learning and adaptation.
Viewing failure as a crucial part of growth and improvement.
 Position Overview: Data Scientist (Artificial Intelligence)
We are seeking a talented Data Scientist specializing in Artificial Intelligence to join our dynamic team. This role blends advanced data science expertise with AI application development to drive the evolution of our AI-driven products. The ideal candidate will play a key role in advancing our mission to deliver inclusive financial solutions.
 Key Responsibilities:
Credit Risk Modeling and Analysis (≈50%)
Develop and refine alternative credit scoring models using machine learning techniques and non-traditional data sources.
Analyze diverse datasets to uncover patterns and trends in credit risk, particularly for underserved populations.
Collaborate with risk management teams to implement effective credit assessment strategies.
Create clear data visualizations and reports to communicate insights to stakeholders.
Enhance model performance through rigorous testing and validation.
Address ad hoc data analysis requests, delivering timely and actionable insights.
AI Solution Development and Integration (≈50%)
Design and develop AI applications to streamline operational workflows and boost business efficiency.
Implement and optimize Large Language Models (LLM) and Optical Character Recognition (OCR) solutions.
Optimize LLM models for improved performance and scalability.
Partner with software engineering teams to seamlessly integrate AI solutions into existing platforms.
Deliver rapid prototypes or proof-of-concepts to address time-sensitive AI challenges.
 Qualifications:
Bachelor’s or Master’s degree in Data Science, Artificial Intelligence, Computer Science, Statistics, or a related field.
1 to 4 years of experience in data science, with exposure to credit risk modeling and/or AI applications development.
Advanced proficiency in Python and SQL.
Expertise with machine learning frameworks (e.g. PyTorch, scikit-learn, or equivalent).
Familiarity with cloud platforms (e.g. AWS) and containerization (e.g. Docker) is a plus.
Knowledge of LangChain and LangGraph is highly desirable.
Excellent communication skills, with the ability to convey complex technical concepts to non-technical stakeholders.
Strong analytical and problem-solving abilities with meticulous attention to detail.
Flexibility to manage multiple projects and meet tight deadlines in a fast-paced environment.
 Why You’ll Love This Role: 
VCs-Backed Startup: With the support of big and well-known investors, we’re positioned for long term success.
Work alongside experienced leaders and innovators: Who are passionate about cutting-edge technology.
Career Development: Be the pioneer key player in a collaborative environment.
Make a Real Impact: Your contribution will directly shape the future of our products and the financing industry.
Workplace: Accessible by public transport.
 Ready to jump-start your career and make an impact in finance? We invite you to apply now and be part of our exciting journey toward financial excellence!
Don’t worry if you don’t check every box – if you meet most of the criteria and are eager to learn, we’d still love to hear from you."
https://my.jobstreet.com/job/84832618?type=standard&ref=search-standalone&origin=cardTitle#sol=638dc66299d394579042a26a3706351af73557d3,malaysia,Data Scientist,MSA Focus International Ltd,"Kelana Jaya, Selangor","Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,"Key Responsibilities
Data Exploration & Modelling
Extract, clean, and preprocess large-scale datasets from structured and unstructured sources
Build, validate, and tune predictive and descriptive models using state-of-the-art algorithms
Leverage statistical analysis, machine learning, and deep learning to solve real-world problems
Collaboration & Strategy
Partner with engineering teams to integrate models into production environments
Work with product and business stakeholders to define data-driven KPIs and success metrics
Translate complex technical findings into business-friendly insights and visualizations
AI Lifecycle Contribution
Contribute to all phases of the AI lifecycle: problem framing, data wrangling, modelling, evaluation, and deployment
Maintain and improve data pipelines and ML workflows in collaboration with MLOps and engineering teams
Continuous Innovation
Stay abreast of the latest research and trends in AI/ML/Data Science
Rapidly prototype experimental approaches and evaluate performance against benchmarks
Promote best practices in data science and mentor junior data practitioners where applicable
Required Qualifications
Bachelor’s or Master’s degree in Computer Science, Data Science, Statistics, Mathematics, or a related field
3+ years of experience in data science or analytics roles, ideally within an AI-focused team
Proficiency in Python, or similar languages for statistical analysis and model building
Hands-on experience with ML frameworks (e.g., Scikit-learn, TensorFlow, PyTorch)
Strong SQL skills and familiarity with big data platforms (e.g., Spark, Hadoop)
Experience with data visualization tools such as Power BI, Tableau, or Plotly
Solid understanding of statistical modeling, A/B testing, and predictive analytics
Ability to simplify complex technical concepts for non-technical stakeholders
Preferred Skills (Nice to Have)
Experience deploying ML models to production in cloud environments (AWS, Azure, GCP)
Familiarity with MLOps practices and tools (e.g., MLflow, Kubeflow, DVC)
Exposure to NLP, or reinforcement learning is a plus
Knowledge of data governance, privacy, and ethical AI practices"
https://my.jobstreet.com/job/84945097?type=standard&ref=search-standalone&origin=cardTitle#sol=5e70938d1da13dacd843a3d3681c1f87f6ec1610,malaysia,Supply Chain Data Scientist,BASF Asia Pacific Service Centre Sdn Bhd,"Petaling Jaya, Selangor","Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,"Objectives of the position
Drive continuous improvement across the Asia Pacific Regional Supply Chain for Agricultural Solutions by leveraging data analytics to identify inefficiencies and implement data-driven solutions.
This role also leads digitalization and automation efforts, including data extraction, dashboard development in Power BI, and predictive analytics enablement.
Main Tasks
Advanced Analytics & Modeling
Develop predictive models for demand forecasting, inventory optimization, and lead time prediction.
Apply machine learning techniques (e.g., anomaly detection, planning data analysis) to large datasets to solve supply chain challenges.
Data Engineering & Automation
Manage and transform large datasets from ERP and planning systems (e.g., SAP).
Build automated data pipelines using Python, SQL, or similar tools.
Decision Support & Scenario Planning
Create simulation and optimization tools to support strategic planning and what-if analysis.
Monitor and refine models to ensure optimal performance.
Digital Supply Chain Projects
Lead or co-lead digital transformation initiatives (e.g., control towers, predictive maintenance, AI in logistics).
Collaborate with IT and data teams to enhance infrastructure and modeling capabilities.

Requirements
Bachelor’s degree in Data Science, Computer Science, Operations Research, Industrial Engineering, Supply Chain, or related fields.
Minimum 3 years of experience in Supply Chain Analytics, Data Science, or quantitative modeling.
Proficient in Python or R; strong SQL skills.
Experience with cloud platforms (e.g., Snowflake, Azure, AWS) and machine learning libraries (e.g., scikit-learn, TensorFlow).
Familiarity with Supply Chain Planning and Execution Systems (e.g., SAP IBP, Kinaxis)."
https://my.jobstreet.com/job/85065756?type=standard&ref=search-standalone&origin=cardTitle#sol=4747ea86e931afa316edfc1cbdfb93a16663f9d3,malaysia,Data Understanding Specialist - Indonesian Market,TikTok Pte. Ltd.,Kuala Lumpur,Other (Information & Communication Technology),Full time,"About the role

Become a key part of the exciting journey of TikTok Pte. Ltd. as a Data Understanding Specialist - Indonesian Market. In this full-time role, you will play a crucial part in driving the success of TikTok's operations in the Indonesian market. You will be based in the vibrant city of Kuala Lumpur, Malaysia, allowing you to be at the heart of TikTok's regional presence.
What you'll be doing
Develop deep insights and understanding of data related to TikTok's performance in the Indonesian market
Analyse trends, patterns and user behaviour to uncover opportunities for growth and improvement
Collaborate cross-functionally to translate data-driven insights into actionable strategies
Support the implementation and monitoring of initiatives aimed at driving engagement and user acquisition
Continuously explore new data sources and analytical techniques to enhance the decision-making process
Communicate complex data findings to stakeholders in a clear and impactful manner
What we're looking for
Strong background in data analysis, with experience in the Information & Communication Technology industry
Proficiency in data mining, statistical modelling and presenting insights
Excellent communication and collaboration skills to work effectively with cross-functional teams
Familiarity with the Indonesian market and consumer behaviour trends
Ability to work independently and thrive in a fast-paced, dynamic environment
A passion for harnessing data to drive business impact
What we offer

At TikTok, we believe in creating a supportive and empowering work environment that enables our employees to thrive. We offer competitive salaries, comprehensive health and wellness benefits, and opportunities for professional development and career growth. Join us in shaping the future of the digital landscape!
Apply now to become a Data Understanding Specialist - Indonesian Market and be a part of the TikTok success story."
https://my.jobstreet.com/job/84933316?type=standard&ref=search-standalone&origin=cardTitle#sol=d294dd21be24b5979a5de1b0e10f7cbed73c2aa4,malaysia,Junior / Intermediate Data Analyst,BUTTERFLY INNOVATIVE TECHNOLOGIES SDN. BHD.,"Kuala Lumpur City Centre, Kuala Lumpur",Developers/Programmers (Information & Communication Technology),Full time,"Job Overview:
We are seeking a motivated and detail-oriented Junior or Intermediate Data Analyst to join our team in Kuala Lumpur City Centre. This role is ideal for recent graduates or early-career professionals who are passionate about using data to drive insights, build models, and support business decisions. The successful candidate will work closely with senior team members and cross-functional teams to analyze data, develop predictive models, and translate complex data into actionable strategies.
Key Responsibilities:
Collect, clean, and preprocess structured and unstructured data from various sources.
Perform data analysis to identify trends, correlations, and key insights to support business objectives.
Build and evaluate predictive models using machine learning techniques for forecasting and classification tasks.
Collaborate with business teams to define analytics needs and deliver data-driven solutions.
Performance monitoring and debugging of deployed models.
Document analytical processes, model assumptions, and data handling workflows.
Contribute to the development of data models to support business strategy.
Stay up-to-date with the best practices in analytics, statistical modeling, and data science.
Requirements:
Bachelor’s degree in Data Science, Statistics, Mathematics, Computer Science, Electrical Engineering, or a related field.
Solid understanding of data analysis, statistics, and predictive modeling techniques.
Solid understanding of programming fundamentals, with proficiency in languages such as Python or MatLab will be a plus.
Exposure to machine learning methods such as linear/logistic regression, decision trees, clustering, and time series forecasting.
Strong analytical and problem-solving skills with a creative approach to tackling technical challenges.
Proficiency in using data manipulation and plotting libraries (e.g., pandas, matplotlib, seaborn, scikit-learn).
Experience with version control (e.g., Git) and basic cloud computing (e.g., AWS, Google Cloud) is a plus.
Strong communication skills, with the ability to present complex analyses in a clear and concise manner.
Ability to work independently and collaboratively in a fast-paced environment."
https://my.jobstreet.com/job/85057970?type=standard&ref=search-standalone&origin=cardTitle#sol=884cdb61c48cac001eec4676cfef274f9724e7a3,malaysia,Data Analyst,Sedgwick Singapore Pte Ltd,"Kuala Lumpur City Centre, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,"Support the business by responding to requests for data, conducting data analysis, providing actionable insights, and providing reports to monitor performance, identify data quality issues, and meet client reporting requirements.
Duties and responsibilities:
·         Design and build dashboards in Power BI and reports in Report Builder for both internal stakeholders and external clients; including operational activity reports, compliance reports and performance reports
·         Proactively perform in-depth data analysis and provide evidence-based insights and recommendations to the business
·         Respond to one-off requests for data and analysis from internal and external stakeholders
·         Identify technology and data quality issues, communicate them to relevant stakeholders, and assist the business in process improvement of these areas to help meet company goals 
·         Work with the Analytics & Insights team to ensure consistency and lack of duplication within the team’s reporting framework
·         Educate and train stakeholders to maximise the effectiveness and value of their reports
·         Assist the business in understanding the power and value of an analytical approach to decision making.
Experience:
·         Experience in data analysis, data interpretation and data visualisation
·         Experience in Power BI, DAX and SQL
·         Experience in Microsoft Excel & programming languages (e.g. R, Python)
Education/Qualifications:
·         Tertiary qualification in relevant field (e.g. Business, Statistics, Mathematics, Computer Science)
·         Certification in programming languages, data science, statistics, machine learning, reporting software (Desirable)"
https://my.jobstreet.com/job/84904735?type=standard&ref=search-standalone&origin=cardTitle#sol=a8da0f002b413ed9d98d70c6487abb4586fa28d5,malaysia,Data Analyst,Nera Group,Kuala Lumpur,Database Development & Administration (Information & Communication Technology),Full time,"Responsibilities:
Lead the business analysis function, contributing to the development of data-driven strategies.
Implement and share innovative ideas for data utilization and analysis.
Take a proactive approach in identifying opportunities for data-driven improvements.
Showcase advanced proficiency in Excel or Google sheet formulas for detailed business analysis and modeling.
Utilize Excel for in-depth insights into complex datasets.
Develop and implement interactive dashboards for effective data communication.
Apply experience and knowledge in analyzing call center, customer services, sales, or telemarketing data.
Provide actionable insights to improve performance and efficiency.
Implement and maintain data governance practices to ensure data accuracy and integrity.
Collaborate with cross-functional teams to streamline data processes.
Collaborate effectively with teams to understand data needs and requirements.

Requirements:
Bachelor's degree in Data Science, Data Analysis, Business Analysis Statistics, Computer Science, Business Administration or a related field (fresh graduates are welcomed).
Good proficiency in Excel Analysis or other Data analysis tools.
Ability to speak in Mandarin is highly preferred to deal with Chinese stakeholders.
Experience in call center, customer services, sales, or telemarketing analysis is highly preferred.
Experience with programming languages and BI Tools such as Python, R, Power BI, Tableau is an added advantage.

If you meet the qualifications for this position and are committed to ensuring accurate and compliant financial practices, please submit your resume and cover letter to andrew@wetop.asia
Note: Only shortlisted candidates will be contacted for further evaluation."
